,Temps,Deviation,Cost,Taux,Trouve
GA-s10-g1000-m50-i1-swap,61045.5,1.1208,59305.4,71.8182,44
GA-s10-g1000-m50-i1-insert,68108.4,1.46362,59304.3,78.8618,41
GA-s100-g1000-m50-i1-swap,270823,1.62102,116494,75.5,40
GA-s100-g1000-m50-i1-insert,298199,1.57737,116520,86.1111,36
GA-s10-g10000-m50-i1-swap,603478,0.540992,592957,66.1017,59
GA-s10-g10000-m50-i1-insert,677130,1.34519,592934,77.5194,43
GA-s10-g1000-m300-i1-swap,199246,0.987064,309302,64.2857,56
GA-s10-g1000-m300-i1-insert,223948,1.27438,309301,74.0741,45
GA-s10-g1000-m50-i4-swap,63734.6,1.44513,59293.9,79.4444,36
GA-s10-g1000-m50-i4-insert,73417.4,1.50952,59306.4,84.6154,39
