,Temps,Deviation,Cost,Taux,Trouve
ebe,27237.6,40.8918,8052.67,100,24
ebi,49607.1,1.478,43720.4,100,35
ebs,43528.9,1.83495,40226,100,28
efe,3568.44,40.8687,532.739,98,25
efi,12818.6,2.65441,10190.6,66.3636,44
efs,19590.3,2.41188,14967.1,80.6061,33
mbe,6887.98,45.9167,1924.66,100,24
mbi,45762.5,2.32275,40066.6,98.8571,35
mbs,35575.2,0.894092,32478.7,100,33
mfe,1300.01,45.88,211.065,100,24
mfi,13730.5,3.22944,10493.2,64.4681,47
mfs,16420.4,1.30211,13281.1,73.25,40
rbe,30051.4,1.26662e+06,8933.79,0,0
rbi,84871.5,169.529,74495.5,60.5556,36
rbs,48481.3,484.532,45177,60.2857,35
rfe,4296.28,1.21511e+06,674.334,0,0
rfi,14366.7,25.2754,11115.7,55.4545,44
rfs,20694.6,5.5317,15855.2,76.4516,31
