,Temps,Deviation,Cost,Taux,Trouve
vnd-edd-be-bi-bs,66490.9,0.201847,13495.2,92.3333,60
vnd-edd-be-bs-bi,64311.2,0.171218,13245,94.0805,58
vnd-edd-fe-fi-fs,21874.8,0.452449,4996.27,48.4735,107
vnd-edd-fe-fs-fi,22029.3,0.573387,5106.4,55.4365,84
vnd-mdd-be-bi-bs,42993.1,0.276327,10734.2,97.5163,51
vnd-mdd-be-bs-bi,51063.7,0.237101,13402.1,95.4,50
vnd-mdd-fe-fi-fs,21171.2,0.508612,5240.68,44.4248,113
vnd-mdd-fe-fs-fi,22159.5,0.833675,5832.15,51.1722,91
vnd-rnd-be-bi-bs,95206.3,4.82217,20930.7,40.7407,99
vnd-rnd-be-bs-bi,83148.5,6.05417,18127.2,41.3468,99
vnd-rnd-fe-fi-fs,24965.3,2.20534,5582.12,43.1498,109
vnd-rnd-fe-fs-fi,29270.1,2.8749,6865.42,50.1333,75
